1881-01-01;62;104;Aleppo;Syria;36.17N;37.79E
1969-12-01;81;226;Aleppo;Syria;36.17N;37.79E
1918-02-01;2;772;Ankara;Turkey;39.38N;33.29E
1937-03-01;90;569;Ankara;Turkey;39.38N;33.29E
1941-02-01;38;36;Ankara;Turkey;39.38N;33.29E
1960-04-01;97;235;Ankara;Turkey;39.38N;33.29E
1965-11-01;63;443;Ankara;Turkey;39.38N;33.29E
1978-01-01;53;25;Ankara;Turkey;39.38N;33.29E
1995-02-01;30;337;Ankara;Turkey;39.38N;33.29E
1851-01-01;58;503;Berlin;Germany;52.24N;13.14E
1853-01-01;22;884;Berlin;Germany;52.24N;13.14E
1891-02-01;65;531;Berlin;Germany;52.24N;13.14E
1894-12-01;69;501;Berlin;Germany;52.24N;13.14E
1919-03-01;36;465;Berlin;Germany;52.24N;13.14E
1927-03-01;74;181;Berlin;Germany;52.24N;13.14E
1930-02-01;36;257;Berlin;Germany;52.24N;13.14E
1936-03-01;54;207;Berlin;Germany;52.24N;13.14E
1948-11-01;48;147;Berlin;Germany;52.24N;13.14E
1950-02-01;30;232;Berlin;Germany;52.24N;13.14E
1950-10-01;85;131;Berlin;Germany;52.24N;13.14E
2010-02-01;56;332;Berlin;Germany;52.24N;13.14E
1771-02-01;90;346;Casablanca;Morocco;32.95N;6.70W
1916-01-01;92;674;Casablanca;Morocco;32.95N;6.70W
1851-01-01;37;134;Chengdu;China;31.35N;103.66E
1858-01-01;7;182;Chengdu;China;31.35N;103.66E
1868-02-01;22;205;Chengdu;China;31.35N;103.66E
1908-01-01;13;732;Chengdu;China;31.35N;103.66E
1939-04-01;92;258;Chengdu;China;31.35N;103.66E
1939-11-01;65;366;Chengdu;China;31.35N;103.66E
1945-01-01;26;644;Chengdu;China;31.35N;103.66E
1946-03-01;70;578;Chengdu;China;31.35N;103.66E
1958-01-01;-2;682;Chengdu;China;31.35N;103.66E
1977-12-01;22;319;Chengdu;China;31.35N;103.66E
1919-01-01;22;508;Chicago;United States;42.59N;87.27W
1961-12-01;53;175;Chicago;United States;42.59N;87.27W
1966-05-01;90;19;Chicago;United States;42.59N;87.27W
1971-03-01;17;203;Chicago;United States;42.59N;87.27W
1973-01-01;20;26;Chicago;United States;42.59N;87.27W
2006-02-01;11;298;Chicago;United States;42.59N;87.27W
1890-12-01;89;94;Chongqing;China;29.74N;107.08E
1913-11-01;53;406;Dalian;China;39.38N;120.69E
1927-11-01;73;377;Dalian;China;39.38N;120.69E
1944-03-01;23;476;Dalian;China;39.38N;120.69E
1952-11-01;49;281;Dalian;China;39.38N;120.69E
1901-10-01;52;997;Harbin;China;45.81N;125.77E
1909-04-01;36;701;Harbin;China;45.81N;125.77E
1933-10-01;62;481;Harbin;China;45.81N;125.77E
1904-03-01;62;67;Istanbul;Turkey;40.99N;29.82E
1938-02-01;47;303;Istanbul;Turkey;40.99N;29.82E
1972-01-01;31;451;Istanbul;Turkey;40.99N;29.82E
1984-04-01;93;1;Istanbul;Turkey;40.99N;29.82E
1923-12-01;55;41;Jinan;China;36.17N;117.35E
1925-12-01;66;588;Jinan;China;36.17N;117.35E
1934-02-01;31;373;Jinan;China;36.17N;117.35E
1940-02-01;62;21;Jinan;China;36.17N;117.35E
1962-02-01;22;398;Jinan;China;36.17N;117.35E
2006-02-01;15;275;Jinan;China;36.17N;117.35E
2007-11-01;78;204;Jinan;China;36.17N;117.35E
2009-02-01;45;349;Jinan;China;36.17N;117.35E
2009-12-01;41;359;Jinan;China;36.17N;117.35E
1843-01-01;18;219;Kabul;Afghanistan;34.56N;70.05E
1888-02-01;38;9;Kabul;Afghanistan;34.56N;70.05E
1946-03-01;89;272;Kabul;Afghanistan;34.56N;70.05E
2011-01-01;32;495;Kabul;Afghanistan;34.56N;70.05E
2012-02-01;10;903;Kabul;Afghanistan;34.56N;70.05E
1913-10-01;66;428;Kiev;Ukraine;50.63N;31.69E
1957-03-01;-10;318;Kiev;Ukraine;50.63N;31.69E
1958-11-01;89;245;Kiev;Ukraine;50.63N;31.69E
2006-03-01;-7;266;Kiev;Ukraine;50.63N;31.69E
1841-10-01;90;147;London;United Kingdom;52.24N;0.00W
1883-04-01;80;268;London;United Kingdom;52.24N;0.00W
1893-12-01;38;532;London;United Kingdom;52.24N;0.00W
1918-12-01;66;359;London;United Kingdom;52.24N;0.00W
1991-12-01;40;297;London;United Kingdom;52.24N;0.00W
2011-01-01;41;303;London;United Kingdom;52.24N;0.00W
1890-02-01;90;768;Los Angeles;United States;34.56N;118.70W
1912-03-01;96;603;Los Angeles;United States;34.56N;118.70W
1919-03-01;100;531;Los Angeles;United States;34.56N;118.70W
1998-12-01;91;235;Los Angeles;United States;34.56N;118.70W
1831-04-01;94;201;Madrid;Spain;40.99N;4.26W
1899-03-01;74;312;Madrid;Spain;40.99N;4.26W
1933-12-01;77;521;Madrid;Spain;40.99N;4.26W
1949-03-01;67;539;Madrid;Spain;40.99N;4.26W
1970-12-01;73;159;Madrid;Spain;40.99N;4.26W
1997-01-01;42;298;Madrid;Spain;40.99N;4.26W
2006-02-01;38;248;Madrid;Spain;40.99N;4.26W
1867-02-01;73;211;Mashhad;Iran;36.17N;59.67E
1978-01-01;49;311;Mashhad;Iran;36.17N;59.67E
1983-01-01;88;468;Mashhad;Iran;36.17N;59.67E
1990-01-01;33;604;Mashhad;Iran;36.17N;59.67E
1996-01-01;8;28;Mashhad;Iran;36.17N;59.67E
1913-07-01;84;172;Melbourne;Australia;37.78S;144.41E
1939-08-01;87;115;Melbourne;Australia;37.78S;144.41E
1882-10-01;85;524;Montreal;Canada;45.81N;72.69W
1956-11-01;99;32;Montreal;Canada;45.81N;72.69W
1900-04-01;23;281;Moscow;Russia;55.45N;36.85E
1902-04-01;79;502;Moscow;Russia;55.45N;36.85E
1904-03-01;73;368;Nagoya;Japan;34.56N;136.22E
1914-03-01;96;212;Nagoya;Japan;34.56N;136.22E
1853-03-01;95;169;Nanjing;China;31.35N;118.74E
1906-01-01;26;485;Nanjing;China;31.35N;118.74E
1920-02-01;20;857;Nanjing;China;31.35N;118.74E
1976-12-01;52;18;Nanjing;China;31.35N;118.74E
