DATA;TEMPERATURA;TEMPERATURA MEDIA;CIDADE;PAIS;LATITUDE;LONGITUDE
1881-01-01;62;104;Aleppo;Syria;36.17N;37.79E
01/12/1969;81;226;Aleppo;Syria;36.17N;37.79E
01/02/1918;2;772;Ankara;Turkey;39.38N;33.29E
01/03/1937;90;569;Ankara;Turkey;39.38N;33.29E
01/02/1941;38;36;Ankara;Turkey;39.38N;33.29E
01/04/1960;97;235;Ankara;Turkey;39.38N;33.29E
01/11/1965;63;443;Ankara;Turkey;39.38N;33.29E
01/01/1978;53;25;Ankara;Turkey;39.38N;33.29E
01/02/1995;30;337;Ankara;Turkey;39.38N;33.29E
1851-01-01;58;503;Berlin;Germany;52.24N;13.14E
1853-01-01;22;884;Berlin;Germany;52.24N;13.14E
1891-02-01;65;531;Berlin;Germany;52.24N;13.14E
1894-12-01;69;501;Berlin;Germany;52.24N;13.14E
01/03/1919;36;465;Berlin;Germany;52.24N;13.14E
01/03/1927;74;181;Berlin;Germany;52.24N;13.14E
01/02/1930;36;257;Berlin;Germany;52.24N;13.14E
01/03/1936;54;207;Berlin;Germany;52.24N;13.14E
01/11/1948;48;147;Berlin;Germany;52.24N;13.14E
01/02/1950;30;232;Berlin;Germany;52.24N;13.14E
01/10/1950;85;131;Berlin;Germany;52.24N;13.14E
01/02/2010;56;332;Berlin;Germany;52.24N;13.14E
1771-02-01;90;346;Casablanca;Morocco;32.95N;6.70W
01/01/1916;92;674;Casablanca;Morocco;32.95N;6.70W
1851-01-01;37;134;Chengdu;China;31.35N;103.66E
1858-01-01;7;182;Chengdu;China;31.35N;103.66E
1868-02-01;22;205;Chengdu;China;31.35N;103.66E
01/01/1908;13;732;Chengdu;China;31.35N;103.66E
01/04/1939;92;258;Chengdu;China;31.35N;103.66E
01/11/1939;65;366;Chengdu;China;31.35N;103.66E
01/01/1945;26;644;Chengdu;China;31.35N;103.66E
01/03/1946;70;578;Chengdu;China;31.35N;103.66E
01/01/1958;-2;682;Chengdu;China;31.35N;103.66E
01/12/1977;22;319;Chengdu;China;31.35N;103.66E
01/01/1919;22;508;Chicago;United States;42.59N;87.27W
01/12/1961;53;175;Chicago;United States;42.59N;87.27W
